     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     41622,      1015,      4396,       0,estimated,anon15,"{""c"":""2014 Li"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":9,""r"":2,""state"":""T""}",
    198401,      1071,     56358,       0,estimated,anon16,"{""c"":""2014 Li"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":25,""r"":2,""state"":""T""}",
    344111,      1014,    167848,       0,estimated,anon17,"{""c"":""2014 Li"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":49,""r"":2,""state"":""T""}",
    565075,      1025,    368202,       0,estimated,anon18,"{""c"":""2014 Li"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":49,""r"":3,""state"":""T""}",
     46619,      1044,      1422,       0,estimated,anon19,"{""c"":""2022 Singh et al"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":9,""r"":1,""state"":""T""}",
     56012,      1001,      6157,       0,estimated,anon20,"{""c"":""2022 Singh et al"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":9,""r"":2,""state"":""T""}",
    564928,      1048,    160360,       0,estimated,anon21,"{""c"":""2022 Singh et al"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":25,""r"":2,""state"":""T""}",
   1611310,      1096,    784508,       0,estimated,anon22,"{""c"":""2022 Singh et al"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":49,""r"":2,""state"":""T""}",
   2542910,      1015,   1646912,       0,estimated,anon23,"{""c"":""2022 Singh et al"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":49,""r"":3,""state"":""T""}",
   3302526,      1004,   2218973,       0,estimated,anon24,"{""c"":""2022 Singh et al"",""lbl"":"""",""noise"":""SI1000"",""p"":0.001,""q"":81,""r"":2,""state"":""T""}",
